nombreRestaurante,valoracion,etiquetas
Trattoria Dove Andiamo?,"8,9", pizza pasta tiramisu bonito risotto
Mizi Sushi,"8,6", sushi salmon pollo ramen pescado
La Barberia,"8,5", tapas tortilla pinchos patatas hamburguesa
Cerveceria Restaurante Echegaray,"8,5", arroz bogavante
Tony Roma's - Móstoles,"8,5", costillas cebolla hamburguesa patatas ensalada
Gastronomia Razonable,"8,4", croquetas pollo arroz patatas bogavante
Bar-Marisquería Tres Hermanos,"8,4", caracoles tapas marisco huevos jamon
Goiko  - Violeta 15,"8,3", hamburguesa patatas carne bacon queso
El Asador de Velazquez,"8,3", cordero asado cochinillo asados carne
Royal Pizza,"8,3", pizza
FreaKafe,"8,2", cafe tarta queso dulce dulces
Tony Roma´s,"8,2", costillas cebolla hamburguesa patatas pollo
La parrilla de usera,"8,2", huevos carne parrillada verduras croquetas
Bar Mirabel,"8,2", oreja tapas
Pub Cafeteria Oscar,"8,2", canapes sandwich tapas tortilla hamburguesa
